state,fips,cases,deaths,new_cases,new_deaths
Oregon,41001.0,13.0,0.0,1.0,0.0
Oregon,41001.0,13.0,0.0,0.0,0.0
Oregon,41001.0,13.0,0.0,0.0,0.0
Oregon,41001.0,13.0,0.0,0.0,0.0
Oregon,41001.0,13.0,0.0,0.0,0.0
Oregon,41001.0,13.0,0.0,0.0,0.0
Oregon,41001.0,15.0,0.0,2.0,0.0
Oregon,41001.0,16.0,0.0,1.0,0.0
Oregon,41001.0,16.0,0.0,0.0,0.0
Oregon,41001.0,17.0,0.0,1.0,0.0
Oregon,41001.0,19.0,0.0,2.0,0.0
Oregon,41001.0,22.0,0.0,3.0,0.0
Oregon,41001.0,22.0,0.0,0.0,0.0
Oregon,41001.0,22.0,0.0,0.0,0.0
Oregon,41001.0,22.0,0.0,0.0,0.0
Oregon,41001.0,25.0,0.0,3.0,0.0
Oregon,41001.0,28.0,0.0,3.0,0.0
Oregon,41001.0,30.0,0.0,2.0,0.0
Oregon,41001.0,30.0,0.0,0.0,0.0
Oregon,41001.0,33.0,0.0,3.0,0.0
Oregon,41001.0,35.0,0.0,2.0,0.0
Oregon,41001.0,36.0,0.0,1.0,0.0
Oregon,41001.0,37.0,0.0,1.0,0.0
Oregon,41001.0,38.0,0.0,1.0,0.0
Oregon,41001.0,38.0,0.0,0.0,0.0
Oregon,41001.0,38.0,0.0,0.0,0.0
Oregon,41001.0,40.0,0.0,2.0,0.0
Oregon,41001.0,40.0,0.0,0.0,0.0
Oregon,41001.0,42.0,0.0,2.0,0.0
Oregon,41001.0,45.0,0.0,3.0,0.0
Oregon,41001.0,52.0,0.0,7.0,0.0
Oregon,41001.0,53.0,0.0,1.0,0.0
Oregon,41001.0,53.0,0.0,0.0,0.0
Oregon,41001.0,53.0,0.0,0.0,0.0
Oregon,41001.0,54.0,0.0,1.0,0.0
Oregon,41001.0,55.0,0.0,1.0,0.0
Oregon,41001.0,55.0,1.0,0.0,1.0
Oregon,41001.0,55.0,1.0,0.0,0.0
Oregon,41001.0,64.0,1.0,9.0,0.0
Oregon,41001.0,64.0,1.0,0.0,0.0
Oregon,41001.0,64.0,1.0,0.0,0.0
Oregon,41001.0,67.0,1.0,3.0,0.0
Oregon,41001.0,67.0,2.0,0.0,1.0
Oregon,41001.0,67.0,2.0,0.0,0.0
Oregon,41001.0,68.0,2.0,1.0,0.0
Oregon,41001.0,70.0,2.0,2.0,0.0
Oregon,41001.0,70.0,2.0,0.0,0.0
Oregon,41001.0,70.0,2.0,0.0,0.0
Oregon,41001.0,74.0,2.0,4.0,0.0
Oregon,41001.0,75.0,2.0,1.0,0.0
